countryGroup,amount,quantity,unitName,commodityCode,chapterName,chCode,countryName,commodityName
Africa,5082480.0,22011,Kg.,30041000,Pharmaceutical products,30,Algeria,Medicaments containing pencilin or derivatives thereof
Africa,67951912.0,160000,Pcs.,30024100,Pharmaceutical products,30,Algeria,Vaccines for human medicine
Africa,103615.2,200,Pcs.,30024100,Pharmaceutical products,30,Angola,Vaccines for human medicine
Africa,129645.36,200,Pcs.,30024200,Pharmaceutical products,30,Angola,Vaccines for veterinary medicine
Africa,44815.8,90,Kg.,63101000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,Central African R,"Used or new rags, scrap twine, cordage, sorted"
Africa,41269693.63,159668,Pcs.,30024900,Pharmaceutical products,30,Chad,"Other Vaccines, toxins, cultures of micro-organisms(excl yeasts) and similar products"
Africa,1844465.71,1508,Kg.,63101000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,Congo,"Used or new rags, scrap twine, cordage, sorted"
Africa,4400325.0,15000,Pcs.,30024900,Pharmaceutical products,30,Congo,"Other Vaccines, toxins, cultures of micro-organisms(excl yeasts) and similar products"
Africa,25915.0,120,Kg.,49111000,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,Egypt,"Trade advertising material, commercial catalogues"
Africa,5689783.71,113,Sq.Mtr.,57011000,Carpets and other textile floor coverings,57,Egypt,"Carpet, knotted of wool or fine animal hair"
Africa,13142.0,36,Kg.,63101000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,Ethiopia,"Used or new rags, scrap twine, cordage, sorted"
Africa,2102.42,160,Pcs.,30024900,Pharmaceutical products,30,Ethiopia,"Other Vaccines, toxins, cultures of micro-organisms(excl yeasts) and similar products"
Africa,59336.1,95,Kg.,56029000,"Wadding, felt and nonwovens: special yarns: twine, cordage, ropes and cables and articles thereof",56,Kenya,Felt
Africa,4622.1,108,Kg.,48021000,"Paper and paperboard: articles of paper pulp, of paper or of paperboard",48,Kenya,"Handmade paper and paperboard, use for writing printing or graphic purposes in rolls or sheets"
Africa,25.0,90,Kg.,63101000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,Kenya,"Used or new rags, scrap twine, cordage, sorted"
Africa,12821340.0,4,Pcs.,84295900,"Nuclear reactors, boilers, machinery and mechanical appliances: parts thereof",84,Kenya,"Mechanical shovels, excavators and shovel loaders"
Africa,370588.5,10,Pcs.,62149000,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Kenya,"Shawls, scarves, mufflers, mantillas, veils and the like of textile material"
Africa,63907.79,180,Pcs.,62044200,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Kenya,"W&G cotton dresses, not knitted"
Africa,16330.75,13,Pcs.,62046200,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Kenya,"W&G cotton trousers, bibs and brace overalls, breeches and short"
Africa,22029.82,2,Pcs.,62142000,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Kenya,"Woolen shawls, scarves, mufflers, mantillas, veils and the like"
